Question,Answer
Taylor Swift 哪年出生？,1989
Taylor Swift 的星座是？,射手座
Taylor Swift 于哪年出道？,2006年
Taylor Swift 的出道地点？,纳什维尔
Taylor Swift 的幸运数字是什么？,13
Taylor Swift 的生日是？,32855
Taylor Swift 的中间名是？,Alison
Taylor Swift 的全名是？,Taylor Alison Swift
Taylor Swift 的妈妈叫什么名字？,Andrea Swift
Taylor Swift 出生于美国哪一个州？,宾夕法尼亚州
Taylor Swift 的灵魂动物是？,海豚
Taylor Swift 最害怕什么动物？,海胆
Taylor Swift 现在有几只猫咪？,三只
Taylor Swift 冰箱里必备的食物是？,鹰嘴豆泥
Taylor Swift 想要的超能力是？,治愈他人
Taylor Swift 有什么兄弟姐妹？,一个弟弟
Taylor Swift 最喜欢在什么季节发歌？,秋季
Taylor Swift 最喜欢的电影是？,真爱至上
Taylor Swift 每年都会看的电影是？,真爱至上
Taylor Swift 最喜欢的美剧/电视节目？,老友记
Taylor Swift 在哪里开演唱会结果把自己的牙磕坏了？,匹兹堡
Taylor Swift 被哪所学校授予名誉博士学位？,New York University
Taylor Swift 在她学生时代会将创作歌曲发布在哪个社交平台？,My Space
Taylor Swift 做完近视眼手术后（在来自妈妈拍摄的视频中）吃的是哪种水果？,香蕉
如果在学校教授一门课程，Taylor 会选？,英语
如果不是歌手，Taylor 想过从事哪方面的事业？,广告行业
Taylor Swift 的宠物猫的名字有哪些？,Olivia Benson、Meredith Grey、Benjamin Button
当 Taylor 有写歌创作灵感的时候，会如何记录？,录制语音备忘录
在《美国小姐》纪录片中 Taylor 因为飞机颠簸而护住牛排时穿的上衣是谁的？,Rihanna
Taylor Swift 的第9个冠军单曲是？,反英雄
Taylor Swift 获得了几次格莱美年度专辑大奖？,4
Taylor Swift 以哪首冠军单替换了Shake It Off？,Blank Space
Taylor Swift 在 Billboard Hot 100 在榜最久的歌是？,Anti-Hero
Taylor Swift 哪两年同时拿了两首美国 billboard hot100 冠单？,2014、2020
Taylor Swift 的第一首 billboard 冠军单是什么？,We Are Never Ever Getting Back Together
billboard 冠军歌曲中最长的是？,All too well (10 minutes version)
在2023年 VMAs 中，Taylor Swift 赢得了多少座奖杯？,9座
2023年的 VMA 中，Taylor 的哪首单曲获得了 Best pop 奖项？,Anti-hero
Taylor Swift 和 Fall Out Boy 有几次合作？,2次
Taylor Swift 第一次与 Jack Antonoff 合作是哪首歌？,Sweeter Than Fiction
Katy Perry 出现在 Taylor Swift 的哪个 MV 里？,You Need To Calm Down
Taylor Swift 写的第一首歌是什么？,Lucky you
Taylor Swift 发行的第一首单曲是？,Tim McGraw
Taylor Swift 写哪首歌的时候，用时最短？,《Blank Space》
Taylor Swift 写哪首歌的时候，用时最长？,《All Too Well》
Taylor Swift 中首歌有她父亲独白是？,Brought Up That Way
Taylor Swift 在学习吉他的时候，会弹的第一首歌是？,《Kiss Me》
Taylor Swift 的首支单曲《Tim McGraw》是关于什么的？,爱情和思念
Taylor Swift 的歌曲《Love Story》中，她将什么比喻为“爱”？,电影中的浪漫情节
Taylor Swift 的歌曲《Out of the Woods》中，她表达了与男友分手后的什么情感？,对关系崩塌的焦虑、恐惧与残留希望交织的复杂情绪
Taylor Swift 的歌曲《All Too Well (From The Vault | Taylor's Version | Ten Minute Version)》的时长是多少？,10m13s
Taylor Swift 写给自己外婆的歌是？,marjorie
在歌曲《Blank Space》的 MV 中，Taylor Swift 共换了几套服装？,20
哪首歌是 Taylor Swift 从《Mad Men》中获取灵感的？,Lavender Haze
Taylor Swift 的第三张专辑是？,Speak Now
Taylor Swift 的首张专辑是哪一年发布的？,2006
Taylor Swift 同名专的首单发行在？,2006-06-19 00:00:00
Taylor Swift 的第一张重录专辑是？,Fearless (TV)
Taylor 的第三只猫是在录制哪支 MV 中收养的？,ME!
Taylor Swift 至今发行了多少张专辑（不包含重录）？,10
Taylor Swift 哪一张专辑被称为宇宙神专-流行圣经？,1989
黄霄雲没有哪首歌？,evermore
Cruel Summer 是哪年的歌曲？,2019
在 cruel summer 的歌词中一共出现了多少次 cruel summer？,6
Taylor Swift 哪张专辑有多首冠军单？（截至 Midnights Era）,1989
Taylor Swift 专辑《reputation》的发行时间为？,2017-11-10 00:00:00
“folklore”专辑彩胶一共有几版颜色？,10
I Think He knows 是哪个专辑的歌曲？,lover
1989 首单《Shake It Off》的发行时间是？,2014-08-19 00:00:00
未收录进 The Ears Tour 正式巡演曲目的是？,So it goes...
哪一张专辑是 Taylor Swift 从乡村音乐转向流行音乐的标志？,《1989》
哪首歌是 Taylor Swift 的《reputation》演唱会大电影中的开场曲？,...Ready For It?
reputation 专辑发行前一个月的秘密试听会上，Taylor Swift 演唱了专辑中的哪一首歌？,New Year's Days
请接下句 I'm not asleep____.,My mind is alive.
歌词“The best people in life are free”出自下列哪一首歌？,New Romantics
"“And overnight, you felt like you are a 60's queen.” 出自 Taylor Swift 的哪首歌？",The Lucky One
"“And it's alright now, But we were something” 这句歌词出自 Taylor Swift 的哪首歌？",the 1
"“And I said, Romeo take me somewhere we can be alone” 这句歌词出自 Taylor Swift 的哪首歌？",Love Story
"“And it's new the shape of your body, It's blue the feeling I got” 这句歌词出自 Taylor Swift 的哪首歌？",Cruel Summer
"“And I don't know how it gets better than this, You take my hand and drag me head first fearless” 这句歌词出自 Taylor Swift 的哪首歌？",Fearless
"“But I can see us, Lost in the memory” 这句歌词出自 Taylor Swift 的哪首歌？",august
"“But I knew you, Dancing in your Levi's” 这句歌词出自 Taylor Swift 的哪首歌？",cardigan
